City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Amapa,BR,1.0,-52.0,69.94,99,74,0.83,broken clouds,2021-07-30 05:08:05
60,Yulara,AU,-25.2406,130.9889,80.44,24,0,18.41,clear sky,2021-07-30 05:08:05
61,Tuatapere,NZ,-46.1333,167.6833,52.83,87,100,3.96,overcast clouds,2021-07-30 05:08:05
62,Khatanga,RU,71.9667,102.5,89.92,30,4,16.13,clear sky,2021-07-30 05:08:06
63,Grindavik,IS,63.8424,-22.4338,56.55,94,0,1.14,clear sky,2021-07-30 05:08:06
64,Ulaanbaatar,MN,47.9077,106.8832,64.53,63,75,15.66,broken clouds,2021-07-30 05:06:20
65,Mandurah,AU,-32.55,115.7,60.22,64,100,30.65,overcast clouds,2021-07-30 05:08:06
66,Half Moon Bay,US,37.4636,-122.4286,76.75,84,1,0.0,clear sky,2021-07-30 05:08:06
67,Alofi,NU,-19.0595,-169.9187,75.6,76,84,15.3,light rain,2021-07-30 05:05:10
68,Reserva,BR,-24.6503,-50.8506,29.98,76,19,3.18,few clouds,2021-07-30 05:08:07
69,Cherskiy,RU,68.75,161.3,38.57,63,99,19.91,overcast clouds,2021-07-30 05:08:07
70,Acarau,BR,-2.8856,-40.12,76.6,89,48,7.34,scattered clouds,2021-07-30 05:08:07
71,Dargaville,NZ,-35.9333,173.8833,58.95,79,82,10.96,broken clouds,2021-07-30 05:08:08
72,Hamilton,US,39.1834,-84.5333,78.94,90,24,4.34,few clouds,2021-07-30 05:07:16
73,Norman Wells,CA,65.282,-126.8329,60.37,84,90,3.89,overcast clouds,2021-07-30 05:08:08
74,Victoria,HK,22.2855,114.1577,88.97,79,100,4.0,overcast clouds,2021-07-30 05:07:14
75,Azul,AR,-36.777,-59.8585,38.59,62,0,7.67,clear sky,2021-07-30 05:08:09
76,Cape Town,ZA,-33.9258,18.4232,53.11,94,45,4.12,scattered clouds,2021-07-30 05:07:17
77,Castro,BR,-24.7911,-50.0119,31.59,69,2,3.13,clear sky,2021-07-30 05:08:09
78,Flinders,AU,-34.5833,150.8552,66.2,51,0,3.0,clear sky,2021-07-30 05:08:09
79,Mar Del Plata,AR,-38.0023,-57.5575,46.99,68,0,1.99,clear sky,2021-07-30 05:08:10
80,Kakori,IN,26.8833,80.8,84.15,89,90,9.22,mist,2021-07-30 05:08:10
81,Benidorm,ES,38.5382,-0.131,75.49,71,0,3.31,clear sky,2021-07-30 05:08:10
82,Puerto Madryn,AR,-42.7692,-65.0385,53.62,41,9,16.51,clear sky,2021-07-30 05:08:10
83,Faanui,PF,-16.4833,-151.75,78.21,76,57,13.49,light rain,2021-07-30 05:08:11
84,Husavik,IS,66.0449,-17.3389,50.94,91,91,1.79,overcast clouds,2021-07-30 05:08:11
85,Butaritari,KI,3.0707,172.7902,83.55,72,10,10.18,light rain,2021-07-30 05:08:11
86,Gigmoto,PH,13.7796,124.39,89.71,63,100,14.0,overcast clouds,2021-07-30 05:08:11
87,Rocha,UY,-34.4833,-54.3333,38.59,83,6,4.72,clear sky,2021-07-30 05:08:12
88,Shwebo,MM,22.5667,95.7,89.08,58,86,13.58,overcast clouds,2021-07-30 05:08:06
89,Coihaique,CL,-45.5752,-72.0662,37.35,93,90,4.61,moderate rain,2021-07-30 05:08:12
90,San Rafael,AR,-34.6177,-68.3301,46.11,36,0,10.07,clear sky,2021-07-30 05:08:12
91,Ron Phibun,TH,8.1791,99.8542,80.69,75,100,8.5,light rain,2021-07-30 05:08:13
92,Zhigansk,RU,66.7697,123.3711,71.96,33,2,2.91,clear sky,2021-07-30 05:08:13
93,East London,ZA,-33.0153,27.9116,56.1,66,3,5.14,clear sky,2021-07-30 05:08:13
94,Vredendal,ZA,-31.6683,18.5012,51.1,81,2,4.9,clear sky,2021-07-30 05:08:14
95,Kirakira,SB,-10.4544,161.9205,82.11,80,25,7.85,scattered clouds,2021-07-30 05:08:14
96,Hami,CN,42.8,93.45,102.0,12,1,3.0,clear sky,2021-07-30 05:08:14
97,Ouegoa,NC,-20.35,164.4333,75.6,62,2,14.14,clear sky,2021-07-30 05:08:15
98,Isangel,VU,-19.55,169.2667,74.32,78,48,7.4,scattered clouds,2021-07-30 05:08:15
99,Tasiilaq,GL,65.6145,-37.6368,42.96,76,27,5.26,scattered clouds,2021-07-30 05:08:15
100,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,35,0,5.75,clear sky,2021-07-30 05:08:15
101,Katangli,RU,51.7102,143.2326,66.49,93,100,4.21,moderate rain,2021-07-30 05:08:16
102,Sept-Iles,CA,50.2001,-66.3821,59.05,93,100,1.59,overcast clouds,2021-07-30 05:05:18
103,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,18.41,broken clouds,2021-07-30 05:08:16
104,Provideniya,RU,64.3833,-173.3,51.91,76,75,8.95,broken clouds,2021-07-30 05:08:16
105,Abyek,IR,36.0667,50.55,71.26,57,4,5.3,clear sky,2021-07-30 05:08:17
106,Itoman,JP,26.1247,127.6694,88.18,79,20,10.36,few clouds,2021-07-30 05:08:17
107,Arraial Do Cabo,BR,-22.9661,-42.0278,63.09,56,98,20.31,overcast clouds,2021-07-30 05:08:17
108,Chitral,PK,35.8462,71.7858,86.14,26,0,0.51,clear sky,2021-07-30 05:08:17
109,Katsuura,JP,35.1333,140.3,87.12,73,52,6.98,broken clouds,2021-07-30 05:08:18
110,Soyo,AO,-6.1349,12.3689,71.94,84,30,8.21,scattered clouds,2021-07-30 05:08:18
111,Mbandaka,CD,0.0487,18.2603,69.71,50,60,1.23,broken clouds,2021-07-30 05:08:18
112,Nome,US,64.5011,-165.4064,49.15,93,90,6.91,overcast clouds,2021-07-30 05:08:19
113,Kaitangata,NZ,-46.2817,169.8464,49.24,88,95,8.21,overcast clouds,2021-07-30 05:08:19
114,Labuhan,ID,-6.8844,112.2051,89.02,52,22,4.47,few clouds,2021-07-30 05:08:19
115,Kawalu,ID,-7.3817,108.2082,85.24,58,63,5.39,broken clouds,2021-07-30 05:08:19
116,Pangnirtung,CA,66.1451,-65.7125,49.66,78,17,3.47,few clouds,2021-07-30 05:08:20
117,Georgetown,MY,5.4112,100.3354,86.9,72,20,1.01,moderate rain,2021-07-30 05:08:20
118,Airai,TL,-8.9266,125.4092,77.65,34,4,3.83,clear sky,2021-07-30 05:08:20
119,Dikson,RU,73.5069,80.5464,39.87,98,100,17.38,moderate rain,2021-07-30 05:08:21
120,Port Elizabeth,ZA,-33.918,25.5701,52.5,76,24,4.61,few clouds,2021-07-30 05:03:31
121,New Norfolk,AU,-42.7826,147.0587,59.92,53,97,4.0,overcast clouds,2021-07-30 05:08:21
122,Ontario,US,34.0633,-117.6509,91.45,48,40,3.0,scattered clouds,2021-07-30 05:07:31
123,Port Alfred,ZA,-33.5906,26.891,54.99,78,14,6.08,few clouds,2021-07-30 05:08:21
124,Oskemen,KZ,49.9565,82.6119,69.76,60,75,4.47,broken clouds,2021-07-30 05:08:22
125,Vaini,TO,-21.2,-175.2,75.36,88,75,4.61,light rain,2021-07-30 05:08:22
126,Constitucion,CL,-35.3333,-72.4167,50.59,75,0,4.09,clear sky,2021-07-30 05:08:22
