City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Juneau,US,66.2,few clouds,58.3019,-134.4197,
607,Tulun,RU,68.81,overcast clouds,54.5611,100.5792,
613,Wilhelmsburg,AT,71.58,clear sky,48.1057,15.6054,
617,Praia Da Vitoria,PT,71.76,few clouds,38.7333,-27.0667,
627,Broome,US,66.7,overcast clouds,42.2506,-75.833,
630,Tinskoy,RU,70.43,broken clouds,56.1525,96.9161,
635,Henties Bay,,65.32,clear sky,-22.116,14.2845,
636,Oktyabrskoye,RU,69.94,clear sky,43.0645,44.7417,
641,La Maddalena,IT,66.25,clear sky,41.2142,9.4083,
643,Luanda,AO,69.8,broken clouds,-8.8368,13.2343,
653,Severnyy,RU,71.64,clear sky,50.677,36.5532,
663,Cserkeszolo,HU,71.94,clear sky,46.8632,20.187,
666,Sechura,PE,67.66,overcast clouds,-5.5569,-80.8222,
670,Arrifes,PT,68.25,scattered clouds,37.7667,-25.7,
676,Kuytun,RU,66.25,overcast clouds,54.3419,101.5036,
681,Pacific Grove,US,66.81,overcast clouds,36.6177,-121.9166,
686,Bitkine,TD,70.63,light rain,11.9801,18.2138,
691,Hakkari,TR,65.98,scattered clouds,37.5833,44.1667,
